id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
600,"Santhom Mariya Arts and Science College Thiruvananthapuram, India",356,"Santhom Mariya Arts and Science College is a vibrant Catholic institution affiliated to the University of Kerala, offering BA, B.Sc., and B.Com programmes in the spirit of Marian devotion, academic excellence, and joyful community. Located in Thiruvananthapuram, it nurtures graduates who are intellectually capable, spiritually rooted, and socially aware.",santhom-mariya-arts-science-thiruvananthapuram,0,http://santhomcollege.ac.in/,,INR 10k-25k ($120-300),0,"The college's lively campus features modern science labs, a comprehensive library, open sports grounds, and a welcoming canteen — creating an uplifting, community-centred academic atmosphere where students learn together, grow together, and graduate as well-rounded individuals ready to serve and succeed in a diverse and changing world.",350,20,0,0,,,,http://santhomcollege.ac.in/,0,1
599,"Bishop Jesudasan CSI Arts and Science College Thiruvananthapuram, India",356,"Bishop Jesudasan CSI Arts and Science College is a distinguished CSI-managed institution affiliated to the University of Kerala, named in honour of the renowned social reformer and educational visionary Bishop Jesudasan. Located in Thiruvananthapuram, it offers BA, B.Sc., and B.Com programmes that combine academic excellence with the CSI tradition of inclusive, value-based education.",bishop-jesudasan-csi-arts-science-thiruvananthapuram,0,http://www.bjcsicas.ac.in/,,INR 10k-25k ($120-300),0,"The college's welcoming campus offers modern science labs, a well-stocked library, and open sports grounds — creating an inclusive, values-driven academic environment where students from all backgrounds are treated with dignity, empowered with knowledge, and inspired to contribute meaningfully to a fairer, more just society.",350,20,0,0,,,,http://www.bjcsicas.ac.in/,0,1
598,"Marian College of Arts and Science Thiruvananthapuram, India",356,"Marian College of Arts and Science is a distinguished Catholic institution affiliated to the University of Kerala, offering BA, B.Sc., and B.Com programmes within a tradition of Marian values — faith, grace, service, and excellence. Located in Thiruvananthapuram, it nurtures students who are as morally grounded as they are academically accomplished.",marian-college-of-arts-science-thiruvananthapuram,0,https://mcas.ac.in/,,INR 10k-25k ($120-300),0,"The college's faith-inspired campus features modern science labs, a comprehensive library, energising sports grounds, and a vibrant canteen — cultivating a warm, inclusive student community where academic success, personal growth, and a spirit of generous service to others are celebrated and encouraged in equal measure.",400,20,0,0,,,,https://mcas.ac.in/,0,1
597,"Saraswathi College of Arts and Science Thiruvananthapuram, India",356,"Saraswathi College of Arts and Science is a vibrant self-financing institution affiliated to the University of Kerala, named in honour of Saraswati — the goddess of knowledge, arts, and wisdom. Located in Thiruvananthapuram, it offers BA, B.Sc., and B.Com programmes that inspire students to pursue learning with curiosity, creativity, and a genuine love for their chosen fields.",saraswathi-college-of-arts-science-thiruvananthapuram,0,http://www.saraswathicollegetvm.org/,,INR 10k-25k ($120-300),0,"The college's warm and welcoming campus offers modern science labs, a well-resourced library, active sports grounds, and a friendly canteen — creating an academic community where students are celebrated for their individuality, supported in their ambitions, and prepared with the knowledge and confidence to pursue careers they truly love.",400,20,0,0,,,,http://www.saraswathicollegetvm.org/,0,1
596,"Dr. Palpu Memorial BEd College Thiruvananthapuram, India",356,"Dr. Palpu Memorial B.Ed. College is a proud private teacher training institution affiliated to the University of Kerala, established in memory of the great social reformer Dr. Palpu whose fight for dignity and equality transformed Kerala's social fabric. Located in Thiruvananthapuram, it prepares educators who carry forward that legacy through the transformative power of teaching.",dr-palpu-memorial-bed-college-thiruvananthapuram,0,https://www.drpalpumemorial.org/,,INR 20k-40k ($240-480),0,"The college's inclusive campus features a well-stocked library, engaging seminar halls, and open sports grounds — creating a nurturing, socially conscious training environment where aspiring teachers are prepared not only to educate but to uplift, inspire, and create lasting positive change in the lives of every child they teach.",100,15,0,0,,,,https://www.drpalpumemorial.org/,0,1
595,"KNMS Training College Thiruvananthapuram, India",356,"KNMS Training College is a dedicated private B.Ed. teacher training institution affiliated to the University of Kerala, committed to providing aspiring teachers with a comprehensive, practice-oriented preparation for their professional journey. Located in Thiruvananthapuram, it combines strong academic content with meaningful teaching practice to produce educators of real effectiveness and confidence.",knms-training-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's supportive campus features a well-curated library, engaging seminar halls for collaborative learning, and open sports grounds — providing a positive, focused academic environment where student-teachers discover their pedagogical strengths, refine their practice, and build the professional identity of the transformative educators they aspire to become.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
594,"Mar Gregorious BEd College Thiruvananthapuram, India",356,"Mar Gregorious B.Ed. College is a respected Orthodox Christian teacher training institution affiliated to the University of Kerala, shaped by the spiritual heritage and educational vision of the Malankara Orthodox Syrian Church. Located in Thiruvananthapuram, it offers the B.Ed. programme with a commitment to forming teachers of deep academic preparation and genuine human values.",mar-gregorious-bed-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's reflective campus offers a well-maintained library, interactive seminar halls, and open sports grounds — fostering a close-knit community of student-teachers who are nurtured in both scholarly rigour and the Christian tradition of service, equipping them to inspire, include, and uplift every student they will teach.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
593,"Mount Tabor Training College Thiruvananthapuram, India",356,"Mount Tabor Training College is a distinguished Catholic B.Ed. teacher training institution affiliated to the University of Kerala, rooted in the tradition of the Syro-Malankara Catholic Church and its commitment to faith, scholarship, and service. Located in Thiruvananthapuram, it nurtures future teachers to be not just knowledgeable, but compassionate and purposeful in their calling.",mount-tabor-training-college-thiruvananthapuram,0,http://www.mounttabor.net/,,INR 20k-40k ($240-480),0,"The college's peaceful, faith-centred campus provides a well-stocked library, thoughtfully designed seminar halls, and welcoming sports grounds — creating a warm and spiritually enriching environment where aspiring teachers grow not only in professional skill but in the wisdom, empathy, and dedication that define truly great educators.",100,15,0,0,,,,http://www.mounttabor.net/,0,1
592,"Sree Narayana Training College Thiruvananthapuram, India",356,"Sree Narayana Training College is a dedicated SNDP Yogam B.Ed. teacher training institution affiliated to the University of Kerala, committed to the vision of Sree Narayana Guru — that education is the greatest instrument of human liberation. Located in Thiruvananthapuram, it prepares educators who carry that transformative ideal into every classroom they enter.",sree-narayana-training-college-thiruvananthapuram,0,http://www.sncollegeofeducation.org/,,INR 20k-40k ($240-480),0,"The college's community-rooted campus features a comprehensive library, well-appointed seminar halls, and open sports grounds — creating a nurturing environment where student-teachers are developed into empowered, socially conscious educators who understand that their greatest role is to open minds and unlock the potential of every child.",100,15,0,0,,,,http://www.sncollegeofeducation.org/,0,1
591,"LMS Training College Thiruvananthapuram, India",356,"LMS Training College is a historic London Mission Society B.Ed. teacher training institution affiliated to the University of Kerala, carrying a proud legacy of educational mission and service. Located in Thiruvananthapuram, its B.Ed. programme reflects a tradition of academic quality, inclusive values, and the deep belief that great teachers change the world.",lms-bed-training-college-thiruvananthapuram,0,http://www.lmstcollege.ac.in/,,INR 20k-40k ($240-480),0,"The college's historic campus offers a well-stocked library, engaging seminar halls, and open sports grounds — providing student-teachers a nurturing, value-centred environment where they develop the academic skills, professional identity, and passionate commitment to education that will define their careers as lifelong educators.",100,15,0,0,,,,http://www.lmstcollege.ac.in/,0,1
590,"MG College of Engineering Thiruvananthapuram, India",356,"MG College of Engineering is a reputed self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, offering B.Tech programmes with a strong emphasis on technical rigour and industry relevance. Located in Thiruvananthapuram, it has consistently produced competent engineers who contribute meaningfully to Kerala's growing technology and infrastructure landscape.",mg-college-of-engineering-thiruvananthapuram,0,http://www.mgce.ac.in/,,INR 60k-1.2L ($720-1440),0,"The college's active campus features modern engineering labs, a comprehensive technical library, wide sports grounds, and a welcoming canteen — creating a dynamic student environment where academic excellence, team spirit, and professional development combine to prepare graduates for successful engineering careers.",500,18,0,0,,,,http://www.mgce.ac.in/,0,1
589,"Govt. Women's Polytechnic College Thiruvananthapuram, India",356,"Govt. Women's Polytechnic College Thiruvananthapuram is a pioneering government institution dedicated exclusively to empowering women through diploma engineering education. Located in the heart of Thiruvananthapuram, it has been a landmark of women's technical empowerment in Kerala — breaking barriers and building confident, career-ready women engineers since its establishment.",govt-womens-polytechnic-college-thiruvananthapuram,0,http://www.gwptctvm.org/,,INR 10k-20k ($120-240),0,"The college's all-women campus provides a safe, empowering, and supportive academic environment, featuring modern workshops, advanced technical labs, a resourceful library, and sports grounds — cultivating a generation of women engineers who are technically brilliant, self-assured, and ready to lead in industry with equal capability and confidence.",400,20,0,0,,,,http://www.gwptctvm.org/,0,1
