university,specialization,level,duration
Embry-Riddle Aeronautical University,Human Security and Resilience,MS,2 years
Embry-Riddle Aeronautical University,Human Factors Psychology,BS,4 years
Embry-Riddle Aeronautical University,Human Factors,PhD,3-5 years
Embry-Riddle Aeronautical University,Human Factors,MS,2 years
Embry-Riddle Aeronautical University,Homeland Security and Intelligence,BS,4 years
Embry-Riddle Aeronautical University,Homeland Security,BS,4 years
Embry-Riddle Aeronautical University,Global Security & Intelligence Studies,BS,4 years
Embry-Riddle Aeronautical University,Global Conflict Studies,BS,4 years
Embry-Riddle Aeronautical University,Global Business & Supply Chain Management,BS,4 years
Embry-Riddle Aeronautical University,Forensic Psychology,BS,4 years
Embry-Riddle Aeronautical University,Forensic Biology,BS,4 years
Embry-Riddle Aeronautical University,Forensic Accounting and Fraud Examination,BS,4 years
Embry-Riddle Aeronautical University,Engineering Technology,BS,4 years
Embry-Riddle Aeronautical University,Engineering Physics,PhD,3-5 years
Embry-Riddle Aeronautical University,Engineering Physics,MS,2 years
Embry-Riddle Aeronautical University,Engineering Physics,BS,4 years
Embry-Riddle Aeronautical University,Engineering Management,MS,2 years
Embry-Riddle Aeronautical University,Engineering Fundamentals,AS,2 years
Embry-Riddle Aeronautical University,Engineering,BS,4 years
Embry-Riddle Aeronautical University,Emergency Services,MS,2 years
Embry-Riddle Aeronautical University,Emergency Services,BS,4 years
Embry-Riddle Aeronautical University,Emergency Management,AS,2 years
Embry-Riddle Aeronautical University,Electrical Engineering & Computer Science,PhD,3-5 years
Embry-Riddle Aeronautical University,Electrical Engineering,BS,4 years
Embry-Riddle Aeronautical University,Computer and Electrical Engineering,MS,2 years
Embry-Riddle Aeronautical University,Data Science,MS,2 years
Embry-Riddle Aeronautical University,Data Science,BS,4 years
Embry-Riddle Aeronautical University,Cyber Intelligence and Security,MS,2 years
Embry-Riddle Aeronautical University,Cyber Intelligence and Security,BS,4 years
Embry-Riddle Aeronautical University,Computer Science,MS,2 years
Embry-Riddle Aeronautical University,Computer Science,BS,4 years
Embry-Riddle Aeronautical University,Computer Engineering,BS,4 years
Embry-Riddle Aeronautical University,Computational Mathematics,BS,4 years
"Christian College, Kattakada, India",Mathematics / Physics / Chemistry,MS,4 Years
"Christian College, Kattakada, India",Political Science,BS,3 Years
"Christian College, Kattakada, India",History,BS,3 Years
"Christian College, Kattakada, India",Economics,BS,3 Years
"Christian College, Kattakada, India",Commerce,BS,3 Years
"Christian College, Kattakada, India",Zoology,BS,3 Years
"Christian College, Kattakada, India",Botany,BS,3 Years
"Christian College, Kattakada, India",Statistics and probability,BS,3 Years
"Christian College, Kattakada, India",Mathematics / Physics / Chemistry,BS,3 Years
Embry-Riddle Aeronautical University,Communication,BS,4 years
Embry-Riddle Aeronautical University,Civil Engineering,BS,4 years
Embry-Riddle Aeronautical University,Business Analytics,BS,4 years
Embry-Riddle Aeronautical University,Business Administration in Aviation Management,MS,2 years
Embry-Riddle Aeronautical University,Business Administration in Aviation,MS,2 years
Embry-Riddle Aeronautical University,Business Administration,MS,2 years
Embry-Riddle Aeronautical University,Business Administration,BS,4 years
Embry-Riddle Aeronautical University,Aviation Safety,MS,2 years
Embry-Riddle Aeronautical University,Aviation Safety,BS,4 years
Embry-Riddle Aeronautical University,Aviation Maintenance Science,BS,4 years
Embry-Riddle Aeronautical University,Aviation Maintenance Science,AS,2 years
Embry-Riddle Aeronautical University,Aviation Maintenance,MS,2 years
Embry-Riddle Aeronautical University,Aviation Maintenance,BS,4 years
Embry-Riddle Aeronautical University,Aviation Maintenance,AS,2 years
Embry-Riddle Aeronautical University,Aviation Finance,MS,2 years
Embry-Riddle Aeronautical University,Aviation Business Administration,PhD,3-5 years
Embry-Riddle Aeronautical University,Aviation Business Administration,BS,4 years
Embry-Riddle Aeronautical University,Aviation Business Administration,AS,2 years
Embry-Riddle Aeronautical University,Aviation and Aerospace Sustainability,MS,2 years
Embry-Riddle Aeronautical University,Aviation and Aerospace Safety,BS,4 years
Embry-Riddle Aeronautical University,Aviation,PhD,3-5 years
Embry-Riddle Aeronautical University,Aviation,MS,2 years
Embry-Riddle Aeronautical University,Applied Meteorology,BS,4 years
Embry-Riddle Aeronautical University,Airworthiness Engineering,MS,2 years
Embry-Riddle Aeronautical University,Airport and Air Mobility Management,MS,2 years
Embry-Riddle Aeronautical University,Airline Management,MS,2 years
Embry-Riddle Aeronautical University,Air Traffic Management,BS,4 years
Embry-Riddle Aeronautical University,Air Traffic Management,AS,2 years
"Sanjo College of Management,IDUKKI,India",Human Resource Management,MS,2 year
"Sanjo College of Management,IDUKKI,India",English,MS,2 year
"Sanjo College of Management,IDUKKI,India",Accounts & Audit / Finance,MS,2 year
"Sanjo College of Management,IDUKKI,India",Medical & Psychiatric Social Work,MS,2 year
"Sanjo College of Management,IDUKKI,India",Economics,BS,3 year
"Sanjo College of Management,IDUKKI,India",B.A. English Language & Literature,BS,4 year
"Sanjo College of Management,IDUKKI,India",Medical & Psychiatric Social Work,BS,4 year
"Sanjo College of Management,IDUKKI,India",Human Resource Management,BS,4 year
"Sanjo College of Management,IDUKKI,India",Computer Science (Machine Learning & AI),BS,4 year
"Sanjo College of Management,IDUKKI,India",Artificial Intelligence,BS,4 year
"Sanjo College of Management,IDUKKI,India",Computer Applications,BS,4 year
"Sanjo College of Management,IDUKKI,India",Logistics Management,BS,4 year
"Sanjo College of Management,IDUKKI,India",Accounts & Audit / Finance,BS,4 year
"TKM College of Engineering,Kollam",Architecture engineering,PhD,3-5 years
"TKM College of Engineering,Kollam","Civil, Mechanical,Computer Science, Electronics,Communication Engineering",PhD,3-5 years
"TKM College of Engineering,Kollam",Computer Science,MS,2 year
"TKM College of Engineering,Kollam",Transport engineering,MS,2 year
"TKM College of Engineering,Kollam",Telecommunication engineering,MS,2 year
"TKM College of Engineering,Kollam",Thermal biology,MS,2 year
"TKM College of Engineering,Kollam",Structural Engineering,MS,2 year
"TKM College of Engineering,Kollam",Architecture,BS,5 year
"TKM College of Engineering,Kollam",Computer Science (Machine Learning & AI),BS,4 year
"TKM College of Engineering,Kollam",Artificial Intelligence,BS,4 year
"TKM College of Engineering,Kollam",Cyber Security,BS,4 year
"TKM College of Engineering,Kollam","Civil, Mechanical,Computer Science, Electronics,Communication Engineering",BS,4 year
Embry-Riddle Aeronautical University,Aerospace Physiology,BS,4 years
Embry-Riddle Aeronautical University,Aerospace engineering,MS,2 years
Embry-Riddle Aeronautical University,Aerospace engineering,PhD,3-5 years
Embry-Riddle Aeronautical University,Aerospace engineering,BS,4 years
Embry-Riddle Aeronautical University,Aerospace Business Analytics,MS,2 years
Embry-Riddle Aeronautical University,Aeronautics,MS,2 years
Embry-Riddle Aeronautical University,Aeronautics,BS,4 years
Embry-Riddle Aeronautical University,Aeronautics,AS,2 years
Embry-Riddle Aeronautical University,Aeronautical Science - Flight,BS,4 years
Tacoma Community College,Interdisciplinary Writing,AS,2 years
Tacoma Community College,Literature,AS,2 years
Tacoma Community College,Sociology,AS,2 years
Tacoma Community College,Respiratory Therapy,AS,2 years
Tacoma Community College,Psychology,AS,2 years
Tacoma Community College,Political Science,AS,2 years
Tacoma Community College,Physics,AS,2 years
Tacoma Community College,Paralegal,AS,2 years
Tacoma Community College,Pre-Nursing,AS,2 years
Tacoma Community College,Nursing (LPN to RN),AS,1 years
Tacoma Community College,Nursing (RN),AS,2 years
Tacoma Community College,Nuclear Medicine Technology,AS,2 years
Tacoma Community College,Music,AS,2 years
Tacoma Community College,Mathematics,AS,2 years
Tacoma Community College,Networking & Cybersecurity,AS,2 years
Tacoma Community College,Networking & Data Security,BS,4 years
Tacoma Community College,Diagnostic Medical Sonography,AS,2-3 years
Tacoma Community College,Radiologic Science,AS,2-3 years
Tacoma Community College,Human Services,AS,2 years
Tacoma Community College,History,AS,2 years
Tacoma Community College,Health Information Technology,AS,2 years
Tacoma Community College,Health Information Management Concentration,BS,4 years
Tacoma Community College,Environmental Sustainability,AS,2 years
Tacoma Community College,Environmental sciences,AS,2 years
Tacoma Community College,Materials and Manufacturing Engineering,AS,3 years
Tacoma Community College,Computer and Electrical Engineering,AS,3 years
Tacoma Community College,Computer Engineering,AS,2 years
Tacoma Community College,Civil and Mechanical Engineering,AS,2-3 years
Tacoma Community College,Bioengineers and Chemical Engineers,AS,2-3 years
Tacoma Community College,Emergency Medical & Health Services,AS,2 years
Tacoma Community College,Early Childhood Education,AS,2 years
Tacoma Community College,Elementary Education,AS,2 years
Tacoma Community College,Oceanography,AS,2 years
Tacoma Community College,Geology,AS,2 years
Tacoma Community College,Earth Sciences,AS,2 years
Tacoma Community College,Atmospheric Science,AS,2 years
Tacoma Community College,Computer and Electrical Engineering,AS,2 years
Tacoma Community College,Computer Engineering,AS,2 years
Tacoma Community College,Computer Sciences,AS,2 years
Tacoma Community College,Community Health,BS,4 years
Tacoma Community College,Communication Studies,AS,2 years
Tacoma Community College,Chemistry,AS,2 years
Tacoma Community College,Applied Management,BS,4 years
Tacoma Community College,Biology,AS,2 years
Tacoma Community College,Physics and Astronomy,AS,2 years
Tacoma Community College,Arts,AS,2 years
Tacoma Community College,Anthropology,AS,2 years
Tacoma Community College,Allied Health,AS,2 years
Tacoma Community College,Accounting,AS,2 years
Tacoma Community College,Business,AS,2 years
"St. Gregorios College, Kollam",Accounts & Audit / Finance,MS,2 year
"St. Gregorios College, Kollam",Mathematics / Physics / Chemistry,MS,2 year
"St. Gregorios College, Kollam",Computer Applications Data Analytics,BS,3 year
"St. Gregorios College, Kollam",Communicative English,BS,3 year
"St. Gregorios College, Kollam",Zoology,BS,3 year
"St. Gregorios College, Kollam",Mathematics / Physics / Chemistry,BS,3 year
Rajagiri College of Social Sciences - Kochi,Biosciences,PhD,3- 5 year
Rajagiri College of Social Sciences - Kochi,Computer Science,PhD,3- 5 year
Rajagiri College of Social Sciences - Kochi,Psychology,PhD,3- 5 year
Rajagiri College of Social Sciences - Kochi,Medical & Psychiatric Social Work,MS,2 year
Rajagiri College of Social Sciences - Kochi,Operations,MS,2 year
Rajagiri College of Social Sciences - Kochi,Marketing Management,MS,2 year
Rajagiri College of Social Sciences - Kochi,Computer Applications Data Analytics,BS,3-4 year
Rajagiri College of Social Sciences - Kochi,NGO & Development Studies,BS,3 year
Rajagiri College of Social Sciences - Kochi,Community Development,BS,3 year
Rajagiri College of Social Sciences - Kochi,Social Welfare,BS,3 year
Rajagiri College of Social Sciences - Kochi,Computer Science,BS,3 year
Rajagiri College of Social Sciences - Kochi,Psychology,BS,3 year
Rajagiri College of Social Sciences - Kochi,ACCA (UK),BS,3 year
Rajagiri College of Social Sciences - Kochi,Human Resource Management,BS,3 year
Rajagiri College of Social Sciences - Kochi,Business Analytics,BS,3 year
Rajagiri College of Social Sciences - Kochi,Accounts & Audit / Finance,BS,3 year
Fisher College,Early Childhood Education,MS,14 months
Fisher College,Criminal Justice,MS,10 months
Fisher College,Criminal Justice,BS,4 years
Fisher College,Health Sciences,AS,2 years
Fisher College,Health Sciences,BS,4 years
Mar Ivanios College - Thiruvananthapuram,MTTM (Master of Tourism & Travel Management),MS,2 Years
Mar Ivanios College - Thiruvananthapuram,M.A. English / Malayalam,MS,2 Years
Mar Ivanios College - Thiruvananthapuram,M.Sc. Physics / Chemistry / Mathematics,MS,2 Years
Mar Ivanios College - Thiruvananthapuram,M.Com (Finance & Management),MS,2 Years
Mar Ivanios College - Thiruvananthapuram,Computer Science,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,B.Sc. Botany / Zoology / Biotechnology,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,Mathematics / Physics / Chemistry,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,B.A. Economics,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,B.A. Journalism & Mass Communication,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,B.A. English Language & Literature,BS,3 Years
Mar Ivanios College - Thiruvananthapuram,Accounts & Audit / Finance,BS,3 Years
Saint Martin's Institute,Entrepreneurship,AS,1 year
Saint Martin's Institute,Computer Science (Virtual Reality),BS,2 year
Saint Martin's Institute,Computer Science (Machine Learning & AI),BS,2 year
Saint Martin's Institute,Computer Science (Games Development),BS,2 year
Saint Martin's Institute,Computer Science,BS,2 year
Saint Martin's Institute,Information Systems,BS,2 year
Saint Martin's Institute,Computing Games Design & Development,BS,2 year
Saint Martin's Institute,Bsc .Computing,BS,2 year
Saint Martin's Institute,Marketing,BS,2 year
Saint Martin's Institute,International Business,BS,2 year
Miami Regional University,Family Nurse Practitioner,MS,18 months
Miami Regional University,Nursing (BSN),BS,3 years
Alfred State College,Nursing,BS,4 years
Alfred State College,Nursing,AS,2 years
LEAD College,Data Science,MS,2 Years
LEAD College,Artificial Intelligence,MS,2 Years
LEAD College,Entrepreneurship,MS,2 Years
LEAD College,Business Analytics,MS,2 Years
LEAD College,International Business,MS,2 Years
LEAD College,Human Resource Management,MS,2 Years
LEAD College,Finance,MS,2 Years
LEAD College,Marketing Management,MS,2 Years
Liberty University,Business Administration,MS,2 years
Liberty University,Psychology,MS,2 years
Miami Regional University,Business Administration,MS,16 months
Millennia Atlantic University,Business Administration,MS,2 years
Millennia Atlantic University,Business Administration,AS,2 years
Fisher College,Business Administration,AS,20 months
Fisher College,Business Administration,MS,10 months - 14 months
EBS University of Business and Law,Business Administration,MS,2 years
Alfred State College,Business Administration,BS,4 years
Alfred State College,Business Administration,AS,2 years
Miami Regional University,Applied Behavior Analysis,BS,3 years
Özyegin University,Psychology,MS,2 years
EBS University of Business and Law,Marketing,MS,2 years
EBS University of Business and Law,Real Estate,MS,2 years
EBS University of Business and Law,Finance,MS,2 years
EBS University of Business and Law,Management,MS,2 years
EBS University of Business and Law,"Law, Politics and Economics",BS,3 years
EBS University of Business and Law,Business Analytics,MS,2 years
EBS University of Business and Law,Business Studies,BS,3 years
Learners Education,Finance,MS,12-18 months
Learners Education,Finance,BS,15-18 months
Learners Education,Marketing,MS,15-18 months
Millennia Atlantic University,Accounting,MS,2 years
Millennia Atlantic University,Human Resource Management,MS,2 years
Millennia Atlantic University,International Business Management,MS,2 years
Millennia Atlantic University,International Logistics Management,MS,2 years
Millennia Atlantic University,Global Finance,MS,2 years
Millennia Atlantic University,Global Entrepreneurship,BS,4 years
Millennia Atlantic University,Retail and E-Business Entrepreneurship,BS,4 years
Millennia Atlantic University,Human Resource Management,BS,4 years
Millennia Atlantic University,Business Administration,BS,4 years
ISM International School of Management,Applied Business Data Science,MS,2 years
ISM International School of Management,Management,MS,2 years
ISM International School of Management,Sustainability Management,MS,2 years
ISM International School of Management,General Management,MS,2 years
ISM International School of Management,Strategic Sports Management,MS,2 years
ISM International School of Management,International Logistics & Supply Chain Management,MS,2 years
ISM International School of Management,"Luxury, Sales and Fashion Management",MS,2 years
ISM International School of Management,Strategic Marketing Management,MS,2 years
ISM International School of Management,Digital Marketing,MS,2 years
ISM International School of Management,Digital Marketing Management,MS,2 years
ISM International School of Management,Psychology & Management,MS,2 years
ISM International School of Management,Business Intelligence & Data Science,MS,2 years
ISM International School of Management,International Business,MS,2 years
ISM International School of Management,Business Administration,BS,3.5 years
ISM International School of Management,Applied Data Science & Business Analytics,BS,3.5 years
ISM International School of Management,Information Systems,BS,3.5 years
ISM International School of Management,Finance & Management,BS,3.5 years
ISM International School of Management,Finance,MS,2 years
ISM International School of Management,International Management,MS,2 years
Özyegin University,"Design, Technology and Society",PhD,4 years
Özyegin University,International Relations and Globalization,MS,2 years
Özyegin University,Industrial and Organizational Psychology,MS,2 years
Özyegin University,Business,PhD,4 years
Özyegin University,Financial Engineering,MS,1 years
Özyegin University,Executive MBA,MS,1 years
Özyegin University,MBA,MS,2 years
Özyegin University,Architecture,PhD,4 years
Özyegin University,Architecture,MS,2 years
Özyegin University,Mechanical Engineering,PhD,4 years
Özyegin University,Mechanical Engineering,MS,2 years
Özyegin University,Mathematics,MS,2 years
Özyegin University,Industrial Engineering,MS,2 years
Özyegin University,Industrial Engineering,PhD,4 years
Özyegin University,Electrical Electronics Engineering,MS,2 years
Özyegin University,Electrical Electronics Engineering,PhD,4 years
Özyegin University,Data Science,MS,2 years
Özyegin University,Computer Science,MS,2 years
Özyegin University,Computer Science,PhD,4 years
Özyegin University,Civil Engineering,MS,2 years
Özyegin University,Civil Engineering,PhD,4 years
Özyegin University,Artificial Intelligence,MS,2 years
Özyegin University,Professional Flight,BS,4 years
Özyegin University,Aviation Management,BS,4 years
Özyegin University,Law,BS,4 years
Özyegin University,Artificial Intelligence and Data Engineering,BS,4 years
Özyegin University,Engineering,BS,4 years
Özyegin University,Electrical and Electronics,BS,4 years
Özyegin University,Civil Engineering,BS,4 years
Özyegin University,Mechanical Engineering,BS,4 years
Özyegin University,Industrial Engineering,BS,4 years
Özyegin University,Computer Science,BS,4 years
Özyegin University,Gastronomy and Culinary Arts,BS,4 years
Özyegin University,Hotel Management,BS,4 years
Özyegin University,Interior Architecture and Environmental Design,BS,4 years
Özyegin University,Communication Design,BS,4 years
Özyegin University,Industrial Design,BS,4 years
Özyegin University,Architecture,BS,4 years
Özyegin University,Economics,BS,4 years
Özyegin University,International Trade and Business,BS,4 years
Özyegin University,Management Information Systems,BS,4 years
Özyegin University,International Finance,BS,4 years
Özyegin University,Business Administration,BS,4 years
Özyegin University,Anthropology,BS,4 years
Özyegin University,Psychology,BS,4 years
Özyegin University,International Relations,BS,4 years
Miami Regional University,Master Of Education In Educational Administration,MS,1 years
Miami Regional University,Doctor Of Nursing Practice Program,PhD,2 years
Miami Regional University,Nursing,AS,2 years
Miami Regional University,Psychiatric Mental Health Post - Master Certificate,MS,16 months
Miami Regional University,Adult Gerontology Acute Care Post-Master Certification,MS,1 years
Miami Regional University,Family Nurse Practitioner,MS,2 years
Miami Regional University,Master Of Science In Nursing Direct Entry,MS,2 years
Miami Regional University,Nursing (RN To BSN),BS,1 years
Liberty University,Government,AS,2 years
Liberty University,Criminal Justice,AS,2 years
Liberty University,STEM Mathematics,AS,2 years
Liberty University,Interdisciplinary Studies,AS,2 years
Liberty University,History,AS,2 years
Liberty University,American Sign Language,AS,2 years
Liberty University,Technical Studies,AS,2 years
Liberty University,Aviation Maintenance Technician,AS,2 years
Liberty University,Juris Doctor (JD),PhD,3 years
Liberty University,Anatomy and Cell Biolo,PhD,5 years
Liberty University,Public Health,PhD,3 years
Liberty University,Engineering,PhD,3 years
Liberty University,Clinical Psychology,PhD,4-5 years
Liberty University,Theological Studies,PhD,3 years
Liberty University,Biblical Studies,PhD,3 years
Liberty University,Osteopathic Medicine,PhD,4 years
Liberty University,Performance,MS,2 years
Liberty University,Worship Studies,MS,2 years
Liberty University,Music Education,MS,2 years
Liberty University,Music and Worship,MS,2 years
Liberty University,Master of Divinity in Military Chaplaincy,MS,4-5 years
Liberty University,Master of Divinity in Healthcare Chaplaincy,MS,4-5 years
Liberty University,Master of Divinity in Community Chaplaincy,MS,4-5 years
Liberty University,Master of Divinity in Christian Ministries,MS,3-4 years
Liberty University,Master of Divinity in Chaplain Ministries,MS,3-4 years
Liberty University,Pastoral Counseling,MS,2 years
Liberty University,Ministry,MS,2 years
Liberty University,Global and Intercultural Leadership,MS,2 years
Liberty University,Church Multiplication,MS,2 years
Liberty University,Biblical Interpretation,MS,2 years
Liberty University,Bible and Theology,MS,2 years
Liberty University,Advanced Master of Divinity,MS,3-4 years
Liberty University,Public Health,MS,2 years
Liberty University,Human Performance,MS,2 years
Liberty University,Exercise Science and Wellness,MS,2 years
Liberty University,Biomedical Sciences,MS,2 years
Liberty University,Athletic Training,MS,3 years
Liberty University,Public Health,MS,2 years
Liberty University,Engineering,MS,2 years
Liberty University,Master of Fine Arts in Studio Art,MS,3 years
Liberty University,Fine Arts in Graphic Design,MS,3 years
Liberty University,Master of Fine Arts in Digital Media Production,MS,3 years
Liberty University,Strategic Communication,MS,2 years
Liberty University,Professional Communication,MS,2 years
Liberty University,Communication,MS,2 years
Liberty University,Sport Management,MS,2 years
Liberty University,Cyber Security,MS,2 years
Liberty University,Social Work,MS,3 years
Liberty University,Applied Behavior Analysis,MS,2 years
Liberty University,Marriage and Family Counseling,MS,3 years
Liberty University,Clinical Mental Health Counseling,MS,3 years
Liberty University,Advanced Standing Master of Social Work,MS,2 years
Liberty University,Interdisciplinary Studies,MS,2 years
Liberty University,History,MS,2 years
Liberty University,English,MS,2 years
Liberty University,Nursing (BSN),BS,4 years
Liberty University,Worship Leadership (BM),BS,4 years
Liberty University,"Woodwind, Brass, or Percussion Performance (BM)",BS,4 years
Liberty University,Vocal Performance (BM),BS,4 years
Liberty University,String Performance (BM),BS,4 years
Liberty University,Piano Performance (BM),BS,4 years
Liberty University,Music Vocal (BS),BS,4 years
Liberty University,Music in World Cultures (BS),BS,4 years
Liberty University,Music Instrumental (BS),BS,4 years
Liberty University,Music Education – Instrumental (BM),BS,4 years
Liberty University,Music Education – Choral (BM),BS,4 years
Liberty University,Music and Worship (BS),BS,4 years
Liberty University,Guitar Performance (BM),BS,4 years
Liberty University,Commercial Music (BS),BS,4 years
Liberty University,Commercial Music (BM),BS,4 years
Learners Education,Business Management,BS,12-15 months
Learners Education,International Marketing Management,BS,15-18 months
Learners Education,Entrepreneurship,BS,15-18 months
Learners Education,Global Business and Management,BS,15-18 months
Learners Education,Hospital Management,BS,15-18 months
Learners Education,Health Safety & Environment,MS,15-18 months
Learners Education,Supply Chain Management,BS,3 years
Learners Education,Supply Chain Management,MS,16-26 months
Learners Education,Project Management,MS,12-18 months
Learners Education,Marketing Management,MS,12-15 months
Learners Education,Luxury Management,MS,15-18 months
Learners Education,Global Management & Leadership,MS,15-18 months
Learners Education,Banking & Finance,MS,16 months
Learners Education,General Management,MS,12-18 months
Learners Education,Human Resource Management,MS,12-16 months
Learners Education,Business Administration,PhD,2 years
ISM International School of Management,International Management,BS,3.5 years
IMT Atlantique,Embedded AI,MS,2 years
IMT Atlantique,Cyber Security,MS,2 years
IMT Atlantique,Architecture and Engineering for the Internet of Things,MS,2 years
IMT Atlantique,Data Science,MS,2 years
IMT Atlantique,Communication System & Network Engineering,MS,2 years
IMT Atlantique,Nuclear Medical Applications,MS,2 years
IMT Atlantique,Safe and Reliable Nuclear Applications,MS,2 years
IMT Atlantique,Nuclear Energy Production and Industrial Applications,MS,2 years
IMT Atlantique,Advanced Nuclear Waste Management,MS,2 years
IMT Atlantique,Management and Engineering of Environment and Energy,MS,2 years
IMT Atlantique,Project Management for Environmental and Energy Engineering,MS,2 years
IMT Atlantique,Management and Optimization of Supply Chains and Transport,MS,2 years
Fisher College,Counseling Psychology,MS,2 years
Fisher College,"Master of Arts in Psychology, Mental Health Track",MS,18 months
Fisher College,Psychology,AS,20 months
Fisher College,Psychology,BS,4 years
Fisher College,Human Services Concentration,BS,4 years
Fisher College,STEM Master of Business Administration,MS,10 months
Fisher College,Human Resource Management,BS,"3 years, 4 months"
Fisher College,Health Information Technology,AS,24 months
Fisher College,General Studies,AS,20 months
Fisher College,Sport Management,BS,4 years
Fisher College,Sport Coaching and Fitness Concentration,BS,4 years
Fisher College,English Concentration,BS,4 years
Fisher College,Liberal Arts,BS,4 years
Fisher College,English,BS,4 years
Fisher College,Early Childhood Education Director Concentration,AS,20 months
Fisher College,Human Services,BS,"3 years, 4 months"
Fisher College,Early Intervention Concentration,BS,4 years
Fisher College,Early Childhood Education and Early Intervention,BS,4 years
Fisher College,Early Childhood Education and Care,BS,4 years
Fisher College,Early Childhood Education,AS,20 months
Fisher College,Digital Marketing,BS,4 years
Fisher College,Marketing,BS,4 years
Fisher College,Criminal Justice,AS,20 months
Fisher College,Law Track,BS,6 years
Fisher College,Biology,BS,4 years
Fisher College,Cybersecurity Track,AS,20 months
Fisher College,Cybersecurity Concentration,BS,4 years
Fisher College,Game Development Concentration,BS,4 years
Fisher College,Web Development Track,AS,2 years
Fisher College,Software Engineering Concentration,BS,4 years
Fisher College,Information Technology,BS,4 years
Fisher College,Applied Artificial Intelligence Concentration,BS,4 years
Fisher College,Allied Health Concentration,BS,4 years
Fisher College,Communication and Media Studies,BS,4 years
Fisher College,Public Relations Concentration,BS,4 years
Fisher College,Video Production Concentration,BS,4 years
Fisher College,Journalism Concentration,BS,4 years
Fisher College,Advertising Concentration,BS,4 years
Fisher College,Entrepreneurship Concentration,BS,4 years
Fisher College,Esports Management Concentration,BS,4 years
Fisher College,Professional Sales Concentration,BS,4 years
Fisher College,Project Management Concentration,BS,4 years
Fisher College,Finance Concentration,BS,4 years
Fisher College,Management,BS,4 years
Fisher College,Healthcare Management Concentration,BS,4 years
Fisher College,Health Information Management Concentration,BS,20 months
Fisher College,Fashion Merchandising Concentration,BS,4 years
Fisher College,Accounting,BS,4 years
Alfred State College,Pre-Environmental Science and Forestry,AS,2 years
Alfred State College,Nursing Dual Degree,BS,4 years
Alfred State College,Nursing Dual Degree,AS,2 years
Alfred State College,Nursing (RN To BSN),BS,2 years
Alfred State College,Liberal Arts & Sciences: Humanities,AS,2 years
Alfred State College,Technical Communication and Emergent Media,BS,4 years
Alfred State College,Individual Studies,AS,2 years
Alfred State College,Interdisciplinary Studies,BS,4 years
Alfred State College,Undeclared Major,AS,2 years
Alfred State College,Game & Interactive Design,BS,4 years
Alfred State College,Game & Interactive Design,AS,2 years
Alfred State College,Graphic & Media Design,BS,4 years
